region_code,region_name,year,temp_mean,pre_mean
530826,江城哈尼族彝族自治县,2020,9.528,518.9506
530403,江川区,2020,10.977,502.3221
532530,金平苗族瑶族傣族自治县,2020,8.699,530.9549
530115,晋宁区,2020,7.035,334.8492
530823,景东彝族自治县,2020,9.292,400.5323
530824,景谷傣族彝族自治县,2020,11.754,624.1102
532801,景洪市,2020,10.473,598.4041
532502,开远市,2020,9.984,500.5945
533325,兰坪白族普米族自治县,2020,6.365,409.6946
530828,澜沧拉祜族自治县,2020,11.244,650.9076
533122,梁河县,2020,9.952,648.5997
530902,临翔区,2020,8.924,482.3686
530523,龙陵县,2020,8.092,482.2328
530502,隆阳区,2020,10.964,583.7293
533124,陇川县,2020,9.896,649.4376
533301,泸水市,2020,6.595,462.8057
532527,泸西县,2020,9.031,452.7236
530621,鲁甸县,2020,6.732,362.7302
530322,陆良县,2020,7.857,401.1721
532302,禄丰市,2020,10.519,407.9607
530128,禄劝彝族苗族自治县,2020,8.349,391.237
530324,罗平县,2020,6.613,356.7333
532531,绿春县,2020,10.753,582.9824
532624,麻栗坡县,2020,7.055,460.0491
532625,马关县,2020,9.929,711.0474
530304,马龙区,2020,9.714,473.6795
533103,芒市,2020,12.585,770.7462
532503,蒙自市,2020,9.625,597.2533
532822,勐海县,2020,12.85,765.0272
532823,勐腊县,2020,13.807,821.8
530827,孟连傣族拉祜族佤族自治县,2020,13.171,700.7819
532925,弥渡县,2020,6.797,271.2052
532504,弥勒市,2020,9.645,434.105
530822,墨江哈尼族自治县,2020,8.705,454.1978
532323,牟定县,2020,7.75,276.4475
532324,南华县,2020,8.041,324.2939
532926,南涧彝族自治县,2020,9.281,392.651
530821,宁洱哈尼族彝族自治县,2020,7.564,437.8094
530724,宁蒗彝族自治县,2020,4.94,266.3339
530103,盘龙区,2020,8.132,407.2775
532523,屏边苗族自治县,2020,9.223,614.5055
530302,麒麟区,2020,7.711,413.3052
530622,巧家县,2020,7.803,406.6489
532626,丘北县,2020,10.303,539.8155
533102,瑞丽市,2020,9.143,522.1524
530323,师宗县,2020,7.189,369.7239
530521,施甸县,2020,10.253,532.4557
530126,石林彝族自治县,2020,9.772,464.8805
532525,石屏县,2020,10.646,501.3827
532322,双柏县,2020,9.925,396.9756
530925,双江拉祜族佤族布朗族傣族自治县,2020,10.482,590.3408
530681,水富市,2020,7.027,349.3182
530802,思茅区,2020,9.668,578.6578
